Acceleration_MPerS2_1X;Acceleration_MPerS2_1Y;Acceleration_MPerS2_1Z;Acceleration_MPerS2_2X;Acceleration_MPerS2_2Y;Acceleration_MPerS2_2Z
0,57;3,63;-7,27;4,01;7,83;-3,49
-1,17;3,76;-10,14;1,93;0,46;2,82
1,75;5,13;-6,72;-1,87;9,2;0,5
0,33;2,68;-1,31;-1,68;16,98;-1,29
-2,64;4,35;-5,94;2,53;6,77;3,95
1,47;4,66;-11,31;1,82;10,96;-2,94
0,32;4,95;-11,56;2,53;11,32;-1,17
-2,69;5,17;-8,93;-0,42;2,13;-1,58
-0,04;4,5;-8,36;-6,21;10,97;-5,79
0,67;8,68;-10,39;-1,23;15,6;3,08
1,21;7,68;-8,5;2,96;10,99;-1,64
-0,17;3,68;-8,32;2,76;3,89;-2,07
-1,21;5,28;-10,14;0,72;1,12;4,29
1,66;4,16;-5,56;-3,14;13,61;-3,04
-1,1;3,41;-2,71;0,59;11,91;1,58
-2,16;5,22;-7,64;2,88;5,78;1,11
1,22;5,75;-12,43;2,92;12,94;-4,06
-1,45;7,03;-11,63;4,24;6,63;0,98
-2,42;5,62;-8,58;-3,95;4,1;-5,92
-0,32;5,94;-9,34;-6,4;13,32;-2,09
0,13;9,76;-9,93;1,88;14,45;3,78
0,84;7,5;-6,69;3,45;10,18;-3,76
-1,28;4,5;-7,57;0,64;1,4;1,58
-0,94;4,73;-8,99;-2,99;5,69;0,65
1,48;3,21;-3,34;-2,82;15,79;-1,29
-1,91;3,38;-1,42;2,45;9,12;4,51
-2,16;4,86;-7,06;2,89;10,56;-2,01
0,59;5,99;-11,29;3,07;12,2;-1,77
-1,87;7,05;-10,08;0,75;2,14;-1,08
-2,55;5,72;-7,87;-7,11;9,23;-4,87
-0,49;6,89;-9,54;-3,86;18,17;1,98
1,1;9,34;-8,55;3,49;13,63;-0,29
1,14;6,57;-6,27;1,81;6,98;-2,41
-1,9;4,39;-8,74;-0,27;3,58;3,37
-0,01;3,91;-7,66;-2,43;13,45;-0,71
1,97;2,5;-2,18;-2,33;15,98;1,19
-2,31;3,52;-1,8;1,47;8,84;3,92
-0,6;5,12;-7,97;2,54;14,4;-2,09
1,22;6,38;-11,18;2,99;10,12;-0,1
-2,69;6,68;-8,67;-2,75;3,66;-2,01
-1,78;4,8;-8,28;-8,07;13,72;-2,55
0,3;6,51;-9,28;-0,53;16,35;4,12
1,15;8,57;-8,14;3,81;11,54;-1,58
0,78;4,84;-6,58;2,21;4,44;-0,52
-1,55;3,45;-8,62;-0,48;4,08;3,2
1,31;4,22;-8,28;-4,42;15,29;-1,95
1,54;2,05;-2,01;-0,08;12,31;3,9
-2,48;3,4;-3,65;2,57;9,66;1,4
0,58;5,53;-9,53;2,03;14,27;-3,62
1,26;5,74;-11,09;2,35;5,09;0,76
-2,43;6,15;-10,98;-5,7;6,81;-4,39
-1,02;4,42;-9,54;-5,47;16,5;-0,27
0,99;7,18;-10,32;2,84;13,48;2,8
1,95;8,55;-7,85;3,6;8,78;-3,52
0,66;3,41;-6,44;2,45;1,89;1,92
-0,97;4,76;-10,63;-3,1;6,99;0,07
1,95;5,27;-6,74;-3,73;15,8;-0,53
0,39;2,32;-1,75;2,86;7,41;3,79
-2,41;3,85;-4,62;2,63;10,44;-3,04
1,08;4,78;-9,55;3,24;12,74;-1,51
-0,01;6,33;-11,45;-0,05;1,53;-2,41
-2,98;5,61;-9,56;-7,08;8,87;-4,73
-0,66;4,19;-10,42;-1,56;16,72;3,04
1,15;8,17;-10,55;4,7;11,34;-1,61
1,48;7,32;-7,49;3,54;4,61;-1,45
-0,23;4;-8,57;-0,04;1,56;3,49
-0,57;5,66;-10,84;-3,6;12,34;-2,48
1,98;4,9;-6,85;-0,49;12,49;2,19
-0,79;2,65;-2,74;3,15;5,47;2,22
-1,97;3,88;-7,06;3,4;13,56;-4,46
1,68;5,93;-11,2;3,61;7,48;-1,24
-1,26;6,7;-10,32;-3,32;2,21;-4,47
