Acceleration_MPerS2_1X;Acceleration_MPerS2_1Y;Acceleration_MPerS2_1Z;Acceleration_MPerS2_2X;Acceleration_MPerS2_2Y;Acceleration_MPerS2_2Z
-0,92;4,57;-10;-7,69;12,52;-4,94
0,75;3,86;-7,99;0,82;16,28;2,38
1,07;3,38;-4,06;5,43;10,52;-2,05
-2,72;2,33;-5,95;0,94;2,9;-0,46
-0,29;5,24;-9,82;-2,22;3,11;4,04
0,51;7,52;-11,91;-3,58;16,08;-2,76
-2,96;6,35;-9,33;0,87;11,36;2,09
-1,8;5,45;-9,47;3,52;8,57;0,2
-0,21;6,89;-11,03;2,73;15,04;-3,46
1,14;8,35;-8;1,47;4,21;2,5
0,73;5,95;-7,5;-6,71;5,55;-4,51
-1,9;5,52;-8,19;-6,37;16,94;-2,12
0,67;5,04;-5,44;3,67;14,63;2,03
0,66;2,79;-2,48;4,6;8,95;-3,66
-2,73;3,86;-5,11;0,08;2,79;3,7
0,02;6,18;-10,18;-3,99;9,58;1,08
-0,24;7,78;-9,33;-2,47;17,47;-2,92
-3,35;6,41;-8,1;2,46;10,34;4,47
-1,64;5,74;-9,82;2,69;13,59;-0,73
-0,32;7,38;-10,23;3,4;13,03;-0,97
1,03;7,17;-7,95;-1,86;2,37;0,31
0,15;6,15;-6,62;-9,2;11,08;-4,14
-2,08;4,71;-8,08;-2,14;18,57;2,19
1,1;3,93;-4,4;4,46;12,16;0,12
0,3;3,12;-1,65;2,37;5,85;-1,99
-2,26;3,9;-6,65;-1,27;3,69;4,62
1,2;6,82;-10,24;-4,84;12,71;-0,53
-0,02;6,95;-9,37;-0,79;13,61;0,74
-2,71;6,03;-7,09;3,04;8,28;2,83
-0,86;5,6;-8,74;2,73;14,3;-3,93
0,78;6,72;-9,91;3,44;7,66;1,44
1,83;6,23;-6,82;-4,62;2,8;-1
-0,51;3,62;-6,85;-7,31;14,7;-4,78
-0,94;5,1;-6,8;2,45;16,16;2,67
1,74;4,12;-4,2;4,21;10,2;-2,4
-1,05;1,7;-2,99;1,48;2,75;0,06
-1,22;3,43;-7,28;-2,62;5,53;3,75
1,4;5,14;-12,53;-4,37;15,68;-2,99
-1,38;6,74;-9,17;1,75;8,86;2,81
-1,93;5,88;-7,93;2,57;9,58;-0,38
0,15;5,09;-11,4;3,36;12,81;-3,37
1,22;7,13;-9,49;1,9;1,69;2,02
2,04;5,85;-7,73;-6,6;7,25;-5,24
-0,1;4,39;-8,71;-2,25;15,65;-0,46
-0,11;5,59;-7,05;5,07;11,9;1,57
1,38;4,39;-3,44;3,71;6,15;-4,24
-1,54;2,24;-4,6;0,73;0,89;4,47
-1,13;3,52;-9,4;-3,69;9,75;-0,57
0,88;6,45;-10,98;-0,68;13,39;-2,42
-1,64;6,46;-9,18;2,61;7;4,31
-1,6;4,61;-8,24;1,61;12,41;-4,28
0,29;6,24;-11,02;4,21;9,4;-1,32
1,62;8;-10,37;-2,25;2,6;-0,67
2,09;4,99;-7,59;-7,3;11,12;-5,26
-0,81;4,31;-9,74;0,62;15,76;2,83
0,05;5,98;-7,49;4,18;10,78;-2,21
1,41;4,13;-3,52;3,24;2,87;-1,37
-2,19;3,07;-6;-1,35;3,84;4,96
-0,67;4,32;-10,19;-4,46;14,88;-2,61
0,56;6,39;-11,87;1,92;11,3;2,44
-3,01;7,31;-8,56;3,07;7,54;1,48
-1,9;6,15;-8,19;2,75;14,51;-4,34
0,05;7,41;-11,49;2,83;6,29;1,9
1,04;7,69;-8,79;-6,64;5,07;-3,93
1,15;4,49;-7,2;-5,94;17,47;-2,53
-1,67;4,33;-8,78;3,47;15,69;1,79
0,25;5,28;-5,61;3,16;9,09;-4,1
0,8;3,98;-3;0,22;3,37;3,48
-2,92;3,31;-5,92;-3,07;9,45;2,08
-0,04;4,42;-10,27;-3,09;18,31;-2,78
0,36;6,53;-10,66;1,32;9,07;4,14
-3,35;6,84;-7,17;2,2;11,99;-1,05
-1,75;6,38;-7,98;3,46;13,64;-1,29
-0,2;8,08;-10,36;-0,92;2,41;0,9
1,19;7,73;-7,48;-8,33;11,34;-4,66
0,55;5,24;-7,22;-2,23;17,53;1,37
-1,81;5,59;-7,59;4,43;12,45;0,6
1,3;5,38;-3,99;2,04;6,5;-2,6
0,44;3,45;-3,31;-1,61;1,49;4,35
-2,53;3,9;-5,59;-3,88;13,66;0,21
1,04;4,83;-9,93;-0,5;15,26;-0,02
0,2;5,73;-10,51;2,43;7,41;2,97
-3,09;6,11;-6,64;2,11;13,6;-3,3
-1,54;5,39;-8,47;2,26;7,49;0,11
0,64;7,37;-9,16;-4,01;4,04;-0,77
1,74;7,01;-7,03;-6,56;14,83;-4,43
-0,47;3,57;-8,22;0,95;15,21;1,86
-1,09;4,22;-6,95;3,96;10,28;-1,2
1,63;4,6;-3,71;1,78;1,96;0,21
-0,92;2,77;-2,97;-2,55;4,46;3,49
-1,82;3;-7,68;-3,25;16,4;-1,73
1,76;5,45;-12,92;1,89;9,46;2,75
-0,34;5,64;-9,73;2,3;7,82;-0,14
-2,24;4,48;-7,07;3,05;12,77;-3,16
-0,19;7,04;-10;1,6;2,56;1,54
0,88;7,37;-9,82;-6,3;5,73;-5,27
1,82;5,51;-8,06;-3,1;16,49;-1,19
0,07;5,05;-8,7;4,15;12,82;1,74
-0,48;4,19;-7,31;3,05;5,45;-4,34
1,39;4,49;-3,79;0,24;0,6;3,68
-1,46;3,01;-4,09;-2,65;8,86;0,58
-1,19;3,36;-8,41;-0,45;15,28;-1,81
1,48;6,35;-11,71;2,67;7,75;4,59
-1,62;5,73;-10,16;2,32;10,74;-3,86
-1,87;5,39;-8,1;4,06;9,26;-2,16
0,27;6,4;-10,42;-1,83;1,52;-0,16
1,03;8,01;-10,09;-6,89;11,66;-5,32
1,86;6,13;-8,34;1,76;15,94;1,36
-0,46;3,33;-10,18;5,13;10,08;-1,51
-0,18;5,7;-7,66;1,09;3,53;-1,48
1,07;4,38;-3,88;-1,61;1,63;3,98
-2,05;3;-5,35;-2,75;14,42;-1,87
-0,46;5,22;-9,34;1,19;12,81;1,98
1,05;6,15;-12,26;2,05;8;1,17
-2,4;7,06;-9,07;1,88;15,11;-3,92
-1,88;5,61;-7,8;2,24;4,62;1,17
-0,45;7,5;-10,5;-6,18;5,04;-3,88
0,66;9,36;-8,48;-5,38;19,24;-2,55
1,39;4,66;-8,34;4,13;16,03;2,34
-1,5;4,71;-9,22;2,69;9,22;-3,54
-0,22;5,89;-5,88;-0,4;3;2,26
0,73;3,36;-3,47;-2,64;8,93;2,99
-2,93;4,01;-4,36;-2,64;18,2;-2,08
-0,53;6,1;-9,2;1,84;10,37;3,62
0,72;6,98;-11,31;1,89;12,1;0,31
-2,97;6,11;-8,28;3,06;13,09;-1,27
-1,88;5,72;-8,28;-1,14;3,22;0,87
-0,02;7,82;-9,07;-8,84;10,6;-3,92
1;7,92;-7,14;-1,2;18,3;0,79
0,88;4,95;-7,39;4,9;13,02;1,07
-1,54;3,93;-8,58;1,59;6,32;-2,1
0,5;4,33;-5,02;-1,04;3,03;3,48
0,55;3,2;-1,82;-3,74;11,81;0,33
-2,53;3,82;-5,05;-0,1;15,29;0,83
0,8;5,43;-10,1;2,43;9,74;2,01
0,97;5,14;-10,77;1,23;13,02;-3,99
-2,7;5,39;-8,04;1,85;8,32;0,95
-1,21;5,9;-8,87;-4,56;3,37;-1,56
0,45;6,85;-9,69;-6,1;13,34;-4,7
1,33;6,7;-6,49;2,22;16,6;2,06
0,44;4,53;-6,84;4,28;11,46;-2,31
-0,48;5,18;-8,09;1,06;2,25;1,08
1,75;4,36;-5,09;-2,64;2,38;3,88
-0,65;2,22;-2,73;-2,08;15,23;-3,53
-1,97;4,09;-5,82;1,97;11,75;2,2
1,5;5,57;-11,29;2,3;8,38;0,05
-0,32;6,5;-11,09;3,06;11,6;-3,55
-2,21;5,55;-8,82;0,38;2,32;1,42
-0,75;4,99;-9,73;-7,05;6,27;-5,22
0,41;8,21;-9,29;-3,63;16,72;-1,69
1,52;6,54;-7,04;4,82;13,65;2,25
-0,21;4,86;-7,79;3,81;7,36;-3,54
-0,28;6,08;-8,97;-0,22;0,22;3,58
1,66;2,84;-4,45;-2,56;8,13;0,61
-1,09;2,07;-2,65;-0,85;16;-3,22
-1,69;4,53;-8,36;3,3;6,81;3,76
1,17;6,12;-11,39;3,42;9,97;-3,21
-0,54;6,03;-10,32;3,76;9,31;-2,21
-2,09;4,04;-9,78;-2,02;0,34;0,87
-0,17;6,2;-10,24;-8,43;10,38;-5,47
1,44;8,13;-8,61;0,93;15,57;0,81
1,36;5,53;-6,7;5,86;10,84;-0,01
-1,19;5;-9,57;1,38;4,99;-1,54
-0,25;5,53;-9,27;-1,17;1,69;3,96
2,24;3,66;-4,21;-4,52;13,71;-2,34
-1,63;2,1;-4,78;0,03;13,7;0,76
-1,68;4,23;-8,87;3,85;8,35;2,5
1,33;7,29;-11,01;2,51;15,45;-4,04
-1,85;6,56;-11,24;2,17;6,06;0,77
-2,34;5,52;-10,15;-6,67;2,96;-2,63
-0,19;6,81;-10,1;-6,04;16,68;-3,05
0,33;7,55;-8,81;4,74;16,51;3,15
0,27;6,62;-6,6;3,28;9,56;-2,45
-1,59;5,64;-9,11;0,55;2,55;1,66
0,24;4,94;-8,04;-2,13;7,32;3,96
1,18;3,29;-1,87;-3,67;17,64;-1,8
-2,28;2,91;-3,59;1,45;11,03;2,68
-0,5;5,53;-8,48;2,17;11,89;0,03
0,58;7,65;-9,51;3,08;14,12;-1,34
-2,85;6,9;-8,86;-0,99;3,41;1,56
-2,26;6,07;-8,35;-9,42;9,62;-4,48
0,08;7,11;-9,93;-1,88;18,78;-0,1
0,71;6,81;-8,22;5,18;14,02;2,08
-0,15;5,46;-6,48;2,2;6,84;-1,81
-1,21;5,4;-9,23;0,47;1,85;4,37
0,59;3,93;-6,81;-3,61;11,66;0,51
0,56;2,46;-2,56;-1,98;15,97;-1,26
-1,61;3,23;-4,63;2,82;8,23;3,2
0,46;5,16;-8,42;2,31;13,33;-2,67
0,58;7,22;-9,69;2,51;9,12;0,15
-2,24;6,07;-8,75;-4,69;2,49;-1,13
-0,77;4,88;-8,82;-8,35;13,52;-5,32
0,66;7,42;-9,32;1,97;15,83;2,61
1,15;7,32;-7,1;4,45;11;-1,41
0,6;4,09;-6,7;1,63;3,5;-0,32
-1,13;4,2;-8,93;-0,49;2,68;4,45
1,61;4,65;-5,95;-3,89;15,29;-3,07
0,7;2,42;-2,47;0,64;11,23;1,33
-2,2;2,73;-6,4;3,41;8,09;0,04
1,38;5,47;-10,59;3,22;13,42;-3,75
-0,05;6,27;-10,43;1,48;2,59;1,76
-2,86;4,93;-9,27;-7,35;4,45;-5,31
-0,34;5,57;-10,07;-4,29;16,25;-2,59
0,66;8,15;-10,15;4,56;13,35;2,43
1,75;5,74;-7,02;3,61;6,6;-2,83
-0,04;4,15;-7,37;1,7;0,82;3,74
-1,32;6,84;-8,6;-3,06;7,93;0,98
1,86;4,68;-4,62;-2,22;14,98;-2,88
-0,46;2,46;-3,28;3,86;7,63;2,85
-1,59;3,85;-7,3;3,22;10,4;-2,97
1,58;5,89;-10,6;4,42;9,82;-1,79
-0,57;6,99;-10,3;-1,54;1,49;-0,79
-2,01;4,98;-9,78;-9,17;9,86;-5,33
-0,25;6,32;-11,19;-0,18;15,86;2,02
1,08;7,97;-9,76;5,02;11,06;-0,42
1,47;4,8;-7,24;2,01;4,19;-2,17
-1,26;4,61;-8,72;-1,01;2,7;4,26
-0,77;5,74;-8,76;-4,3;13,79;-1,44
1,33;3,74;-4,51;0,37;12,51;0,33
-2,14;2,5;-4,11;2,8;7,79;1,76
-1,51;4,24;-8,86;2,47;14,65;-3,93
1,23;6,49;-11,05;3,49;6,34;1,02
-1,97;6,94;-9,88;-5,95;4,17;-2,12
-2,34;6,4;-9,72;-6,98;16,88;-3,62
-0,17;7,71;-10,76;3,82;15,93;1,85
0,79;8,94;-8,94;3,84;9,71;-2,36
0,93;5;-6,46;0,33;3,41;2,34
-1,47;4,32;-8,31;-2,55;8,27;2,68
-0,27;6,92;-7,57;-3,28;18,11;-2,71
0,76;3,36;-3,01;0,83;10,22;3,74
-2,44;2,28;-3,96;1,38;11,92;-0,71
-0,48;4,59;-8,37;3,11;14,68;-1,5
0,58;6,32;-10,03;-0,01;3,07;1,85
-2,87;7,3;-8,71;-7,85;10,15;-5,56
-2,28;5,44;-8,33;-2,6;18,68;1,58
-0,88;7,97;-9,68;3,9;12,72;2,42
0,52;8,51;-7,67;3,13;6,8;-3,5
1,18;3,8;-6,25;1,01;2,76;4,3
-1,38;4,85;-8,52;-3,19;11,95;0,35
0,11;5,59;-6,31;-1,89;15,95;-0,33
1,05;3,27;-2,44;1,45;8,45;3,48
-1,57;3,46;-5,42;1,78;12,92;-3,32
0,7;5,6;-10,39;2,82;9,12;0,1
0,91;6,44;-10,26;-2,75;2,53;-1,03
-2,33;5,27;-7,73;-7;13,41;-3,89
-1,47;6,7;-8,61;0,09;16,78;2,23
0,2;8,27;-9,4;4,09;10,03;-2,04
1,65;6,52;-6,42;1,89;2,25;0,12
0,66;3,79;-6,58;-1,21;4,07;3,57
-0,91;3,83;-8,38;-3,29;16,16;-1,87
1,3;5,19;-4,48;0,69;10,89;2,12
-0,1;3,19;-2,19;3,25;7,73;-0,61
-1,76;2,9;-6,85;2,4;13,66;-2,89
1,22;4,66;-10,95;0,77;3,66;1,89
0,4;5,16;-10,56;-5,19;5,36;-5,25
-1,85;5,76;-9,16;-3,47;16,26;-2,56
-1,04;6,36;-10,01;3,91;13,56;2,21
0,48;8,48;-10,69;3,63;7,12;-3,09
2,13;6,45;-8,28;0,76;-0,5;2,52
0,62;3,1;-7,95;-2,43;7,67;1,04
-0,72;5,34;-9,28;-1,12;16,4;-2,29
1,54;4,62;-4,65;2,98;6,64;2,8
-0,19;2,87;-2,43;2,23;10,19;-2,95
-1,74;3,87;-7,98;2,86;11,27;-1,72
1,44;5;-10,54;-1,35;1,1;-0,04
0,02;5,49;-9,92;-6,8;9,61;-6,08
-2,34;3,96;-9,12;0,22;16,77;0,66
-0,61;6,2;-9,34;4,34;12,15;0,12
0,89;8,47;-10,33;1,38;3,69;-2,2
1,62;4,73;-7,9;-0,75;-0,43;3,77
-0,72;3,58;-9,09;-3,02;13,98;-1,51
-0,77;5,26;-9,88;0,48;15,19;0,32
1,79;4,34;-3,96;3,42;5,78;3,03
-1,77;3,77;-4,33;2,21;13,08;-3,44
-1,77;5,03;-10,07;1,4;7,61;-0,02
1,49;6,18;-12,08;-5,76;3,71;-2,43
-1,47;6,54;-9,71;-6,7;16,4;-3,63
-2,09;6,48;-8,55;2,8;16,37;2,42
-0,75;7,91;-10,8;3,6;10,86;-2,47
-0,14;8,6;-8,9;0,15;3,2;0,6
1,17;5,15;-7,03;-1,98;6,16;2,91
-1,35;4,15;-8,37;-2,38;18,87;-1,98
-1,03;5,71;-6,27;1,78;11,35;3,82
0,98;3,67;-2,21;2,54;10,76;0,29
-2,18;3,21;-3;2,34;14,02;-2,18
-0,98;6,17;-9,18;-1,37;2,38;2,3
0,93;6,88;-10,61;-7,67;8,9;-4,2
-2,55;5,86;-8,42;-1,75;18,46;-0,35
-2,34;6,84;-9,15;3,42;13,83;2,5
-0,27;8,26;-9,62;1,3;6,75;-2,27
0,66;7,58;-8,98;-0,1;1,85;3,46
0,65;5,74;-7,17;-3,63;11,76;0,3
-1,66;4,36;-8,14;-0,59;15,67;-0,5
0,25;3,97;-6,23;3,46;9,26;4,16
1,37;3,2;-0,24;1,78;13,4;-2,75
-2,19;3,41;-4,39;2,39;8,46;-0,15
-0,26;5,75;-9,86;-3,85;3,06;-0,31
1,04;6,22;-9,75;-6,89;13,7;-4,91
-2,33;4,6;-8,79;1,98;16,61;2,48
-1,88;5,94;-7,24;4,08;10,19;-0,69
-0,03;8,9;-9,36;1,85;2,68;-0,93
1,37;6,65;-8,6;-1,74;3,88;3,45
0,97;3,36;-7,18;-3,83;14,59;-2,77
-0,96;4,52;-9,34;2,18;10,73;2,26
1,24;4,34;-4,71;2,71;8,43;1,71
0,65;2,45;-1,85;2,01;14,09;-4,44
-2,18;2,7;-7,14;1,78;3,56;0,78
0,96;5,63;-10,83;-6,31;3,87;-3,94
0,66;6,73;-11,2;-3,77;16,84;-2,28
-2,21;3,9;-9,3;4,61;14,44;2,94
-0,46;5,56;-8,86;3,13;7,27;-3,44
0,51;9,08;-9,96;0,52;0,8;2,13
1,78;6,89;-7,63;-2,88;6,23;1,94
0,9;4,66;-8,13;-1,54;15,64;-2,39
-1,31;5,4;-9,73;3,82;8,76;3,67
1,64;4,21;-4,06;2,23;10,47;-2,8
0,19;2,17;-2,51;2,86;10,59;-2,86
-2,32;4,01;-7,67;-0,59;0,57;0,75
1,23;5,98;-10,06;-8,24;9,63;-7,09
-0,16;5,54;-10,6;-0,23;16,53;0,17
-2,29;4,82;-9,45;5,98;11,44;1,96
-0,28;5,87;-9,91;1,53;4,79;-3,85
0,79;8,54;-10,6;-0,87;-0,3;3,16
1,81;5,73;-7,92;-3,46;12,34;-0,38
-0,3;3,59;-9,74;0,44;15,49;-0,06
-1,01;6,24;-10,14;4,05;7,5;3,67
1,73;3,46;-3,77;1,57;13,87;-4,47
-1,07;2,39;-3,57;1,41;7,74;-0,43
-2,07;5,27;-8,91;-5,73;3,49;-1,67
1,26;5,9;-10,22;-6,92;16,66;-4,74
-0,99;6,4;-9,82;3,04;16,95;3,16
-2,82;5,51;-9,78;3,48;9,78;-2,93
-0,59;7,39;-9,93;1,32;3,14;0,2
0,77;8,65;-9,71;-2,06;6,74;4,31
0,82;4,73;-7,38;-3,77;17,42;-3,7
-1,43;5,24;-8,59;2,39;10,88;4,4
-0,71;6,74;-8,61;2,47;11,45;1,46
1,49;3,87;-2,71;2,45;15,6;-3,55
-1,86;2,74;-3,91;-0,19;3,06;3,19
-1,41;5,17;-8,54;-8,96;7,68;-5,06
0,97;7,82;-9,25;-3,06;18,95;-0,8
-2,37;7,11;-9,16;4,63;14,72;3,9
-2,65;5,96;-7,88;2,4;7,8;-3,79
-0,84;7,51;-9,21;-0,1;1,98;3,34
0,44;7,71;-8,42;-4,44;10,72;0,73
0,78;4,93;-5,7;-1,97;16,05;-0,71
-2,15;4,61;-8,07;3,24;8,09;5,4
0,03;5,51;-6,39;2,17;13,52;-3,83
1,74;2,59;-2,16;2,6;9,75;-1,21
-2,47;2,32;-5,25;-2,95;1,27;0,35
-0,6;5,33;-9,5;-7,45;13,02;-5,05
1,24;5,87;-9,43;0,77;16,55;2,97
-2,18;5,24;-8,62;4,84;10,64;-1,19
-1,9;5,06;-9,07;2,52;4,07;-2,33
0;7,65;-9,55;-1,58;2,97;4,42
1,49;7,66;-7,18;-4,24;14,43;-1,73
0,81;3,78;-5,36;1,07;11,48;1,92
-1,49;5,05;-8,82;2,78;7,66;1,45
1,41;5,72;-5,82;2,54;14,34;-4,67
1,4;2,83;-0,68;2,39;5,1;1,27
-2,07;2,66;-6,7;-6,24;3,46;-3,93
0,95;4,75;-10,27;-5,16;14,75;-3,21
0,94;6,99;-9,67;4,44;13,88;3,62
-2,38;5,6;-9,63;4,5;7,76;-3,21
-0,72;4,9;-9,57;1,89;1,26;1,39
0,64;7,35;-12,25;-2,05;6,11;2,26
1,5;5,63;-8,47;-2,55;14,59;-2,61
0,45;4,22;-6,46;2,63;8,36;4,01
-1,38;6,07;-10,28;2,64;10,09;-1,99
1,33;4,9;-5,81;3,19;10,93;-3,92
0,16;2,58;-3,52;0,33;2,09;0,77
-2,09;3,17;-7,31;-7,34;9,14;-5,22
1,17;6,05;-8,81;-2,12;15,6;0,11
0;6,84;-9,97;5,22;11,32;1,17
-2,25;4,8;-9,61;3,24;4,62;-3,16
-0,07;6,48;-10,03;-0,77;1,54;3,01
0,94;8,95;-11,01;-4,65;13,63;-0,11
1,79;5,13;-7,81;-0,99;14,19;1,08
0,33;3,11;-7,8;3,53;6,76;3,62
-1,19;6,1;-10,02;2,17;14,57;-4
1,25;4,71;-5,22;2,45;9;-0,31
-0,75;2,1;-4,15;-3,77;3,41;-1,48
-2,57;3,5;-9,3;-7,12;15,05;-3,96
0,54;5,48;-10;1,68;16,31;2,95
-1,04;6,91;-9,83;3,83;10,58;-2,57
-2,78;6,48;-9,34;1,56;3,62;-0,95
-0,44;7,11;-10,5;-1,7;5,52;3,88
1,09;8,9;-11,55;-4,56;17,23;-2,44
1,62;5,49;-6,78;0,8;11,54;2,98
-0,66;4,14;-7,28;2,11;9,9;1,76
-0,96;6,43;-8,21;1,98;15,84;-3,53
1,5;3,96;-3,2;0,65;4,77;1,76
-1,35;3,28;-4,01;-7,74;7,36;-3,33
-1,81;4,9;-7,7;-3,97;18,75;-0,99
0,82;5,49;-8,89;3,67;14,4;3,13
-2,41;6,93;-8,06;3,01;8,04;-3,26
-3,05;5,96;-7,91;1,45;2,57;2,74
-0,4;7,65;-10,49;-3,92;9,62;1,44
0,33;8,71;-9,18;-2,11;15,91;-1,14
1,12;3,5;-6,14;2,58;8,35;4,53
-1,18;4,11;-7,43;0,97;13,12;-3,25
-0,88;6,14;-6,26;3,1;10,13;-1,62
1,67;3,57;-2,01;-2,58;1,37;0,44
-1,44;3,88;-4,75;-8,24;12,93;-5,28
-0,67;4,95;-9,85;-0,23;16,86;2,78
1,42;6,14;-9,62;3,88;11,79;0
-2,14;6,2;-8,28;3,3;4,38;-2,6
-1,97;6;-8,4;-0,42;1,59;3,73
0,18;8,73;-10,59;-3,58;14,98;-1,83
1,13;6,84;-9,21;1,13;11,95;1,77
1,19;2,93;-5,8;2,46;6,3;1,76
-1,34;4,61;-7,7;2,99;13,56;-5,23
0,05;5,58;-5,34;2,24;3,9;1,16
1,14;3,17;-1,62;-5,44;3,4;-2,74
-2,01;2,71;-5,96;-5,07;15,89;-3,18
-0,22;4,51;-10,32;2,37;13,72;3,72
1,09;5,67;-10,77;4,62;7,66;-3,14
-1,94;5,74;-8,84;1,49;1,08;0,29
-1,51;5,9;-9,08;-2,53;5,91;2,16
0,49;7,84;-11,69;-1,04;14,78;-2,59
2,02;6,95;-9,28;2,31;7,91;3,85
1,16;3,98;-6,98;2,68;10,28;-1,73
-1,24;6,08;-8,58;3,91;11,45;-3,84
1,15;4,8;-5,14;0,3;1,42;1,35
0,92;2,2;-2,11;-6,94;8,75;-5,23
-2,14;4,99;-7,19;-2,33;16,84;0,37
0,55;4,83;-10,43;5;13,08;1,25
0,33;5,29;-9,98;2,36;4,97;-4,28
-2,71;4,91;-9,03;-1,58;1,1;3,21
-1,03;4,69;-8,8;-3,17;13,52;-1,13
0,91;9,29;-11,23;0;14,33;0,15
1,77;5,31;-9,12;3,16;7,8;4,73
0,15;1,93;-8,12;2,11;14,13;-4,72
-1,1;5,79;-10,14;2,87;7,23;-0,33
1,6;4,02;-4,39;-3,33;4,13;-0,99
-0,24;3,64;-3,33;-7,21;15,66;-4,29
-2,28;4,9;-9,7;1,62;16,29;3,86
1,06;5,38;-11,19;3,25;11,62;-2,5
-0,4;7,42;-10,28;0,6;3,41;-1,69
-2,89;6,05;-8,79;-0,97;5,6;3,35
-1,03;7,61;-9,62;-3,71;18,06;-2,14
0,4;9,91;-10,88;0,24;11,92;3,51
1,49;5,49;-7,9;1,95;10,42;1,11
-0,48;3,52;-8,09;2,32;15,47;-3,5
-1,21;5,22;-7,79;1,07;4,51;1,93
1,38;4,25;-2,38;-7,33;7,12;-3,27
-1,59;3,37;-3,13;-3,96;18,4;-0,5
-2,12;4,74;-8,35;4,06;15,35;3,26
1,1;6,41;-9,96;2,87;8,35;-3,61
-2,05;6,51;-9,2;0,86;1,72;2,33
-2,97;5,5;-7,67;-3,29;8,89;2,21
-0,54;7,64;-8,99;-2,05;16,44;-1,61
0,45;9,57;-9,77;1,99;8,86;3,94
1,4;5,8;-7,53;0,64;11,99;-2,23
-1,25;3,66;-8,88;1,95;10,37;-2,29
-0,47;4,38;-7,03;-2,54;1,29;0,53
2,33;3,75;-1,46;-6,78;11,45;-5,49
-1,8;4,27;-4,21;0,21;18,03;1,55
-0,82;4,82;-8,93;3,9;12,88;0,84
2,26;5,67;-9,55;2,99;3,81;-3,19
-1,99;5,46;-8,67;-1,18;1,15;3,65
-2,18;4,85;-6,95;-3,47;14,31;-0,74
0,18;8,54;-8,42;1,12;12,72;1,56
0,68;7,65;-8,66;1,39;7,45;2,76
0,8;3,07;-6,86;2,84;13,74;-4,97
-1,54;4,51;-8,95;2,39;3,84;0,85
0,63;4,75;-6,29;-6,55;2,05;-2,93
2,09;3,45;-1,52;-4,79;15,51;-4,07
-2,1;3,77;-5,66;3,29;15,33;3,95
-0,01;3,96;-10,74;4,18;8,68;-3,82
1,54;6,74;-11,44;1,53;0,17;0,01
-2,2;5,89;-9,63;-2,71;3,81;3,6
-1,26;4,53;-8,37;-1,05;15,26;-2,75
0,53;8,52;-10,22;2,78;8,97;3,57
0,84;6,94;-9,12;2,37;9,26;-0,85
0,37;4,39;-7,25;3,79;11,75;-3,42
-1,06;5,45;-8,54;-1,07;0,75;1,19
1,07;3,26;-5,36;-7,32;7,59;-5,9
0,86;3,05;-1,95;-0,99;17,28;-0,19
-2,18;3,83;-5,83;4,24;12,8;1,98
-0,11;4,58;-10,26;3,02;6,29;-4,26
0,34;6,37;-11,07;-0,77;0,36;2,53
-1,94;4,16;-10,14;-4,5;10,76;0
-0,72;5,2;-9,64;0,24;15,37;0,32
0,86;8,65;-9,67;3,32;7,31;4,58
1,86;5,91;-9,04;2,76;14,15;-4,05
0,32;3,77;-9,86;3,17;8,91;-0,76
-1,28;5,18;-9,47;-5,1;1,27;-0,13
2,06;4,65;-4,86;-7,02;14,42;-4,78
0,45;2,96;-2,95;2,73;17,7;2,53
-2,97;4,24;-7,47;4,33;11,81;-1,46
0,11;6,61;-11,69;0,96;4,3;-1,97
-0,86;6,59;-10,48;-2,34;5,07;3,74
-2,64;5,66;-8,66;-3,22;16,67;-1,51
-0,28;6,55;-9,56;1,19;12,68;2,97
0,08;8,58;-9,41;1,87;11,45;2,14
1,02;6,45;-8,45;2,31;15,67;-3,42
-0,55;4,14;-9,04;0,54;4,98;1,99
-1,76;5,5;-7,95;-7,62;6,41;-3,1
2,01;4,42;-3,52;-3,94;17,07;-1,38
-0,54;4,29;-3,42;4,59;15,83;3,61
-2,99;5,35;-8,17;3,23;8,75;-3,36
0,51;6,05;-10,11;0,57;1,81;2,36
-1,51;8,08;-9,65;-3,7;8,17;1,88
-2,93;6,3;-8,95;-3,01;14,94;-1,52
-0,23;6,54;-9,4;2,25;9,81;4,86
0,55;8,45;-8,48;1,68;13,59;-2,5
1,09;5,29;-6,71;2,82;11,62;-1,67
-0,99;5,04;-8,43;-2,53;1,73;0,54
-0,8;5,17;-6,13;-8,78;10,73;-5,96
2,42;3,2;-1,9;0,13;18,53;2,72
-0,98;4,35;-3,41;4,77;13,19;0,22
-1,69;4,56;-8,03;2,93;4,48;-3,49
1,13;5,44;-11,17;0,04;1,16;3,93
-2,08;6,54;-8,12;-4,54;12,52;-1,58
-2,46;4,99;-7,79;-0,18;12,61;1,49
-0,07;6,96;-10,48;2,86;6,89;1,85
0,55;7,22;-7,61;3,21;13,59;-5,14
1;3,15;-7,49;2,56;5,86;1,32
-0,89;4;-8,39;-6,72;2,1;-3,45
0,97;4,72;-5,22;-5,81;14,69;-4,12
2,48;3,11;-2,84;3,35;15,38;3,18
-1,84;3,62;-4,75;4,39;9,36;-3,41
-0,46;3,93;-9,86;2,68;1,77;0,58
1,27;6,15;-10,93;-2,2;4,18;2,31
-2,03;6,36;-9,12;-2,42;14,24;-2,87
-1,56;5,47;-9,1;2,84;9,1;3,4
